Localized Product Matrix,Related NPI Product
"Autodesk SketchBook Pro","Autodesk SketchBook - for Enterprise"
"Autodesk Studio Clouds","No"
"Autodesk Vault","Autodesk Vault Professional"
"Autodesk Vault Basic","Autodesk Vault Basic -- Client"
"Autodesk Vault Office","Autodesk Vault Office"
"Autodesk Vehicle Tracking Main","No"
"Beast","No"
"Best Practices for Net Promoter Score","No"
"BIC eStore","No"
"BIM for Infrastructure Business Drivers","No"
"BIM for Infrastructure Business Transformation","No"
"Building Design Suite","Autodesk Building Design Suite"
"Civil Infrastructure Exam Pre-Sales Technical","No"
"Civil Infrastructure Spec 128-140 LSDV review","No"
"Civil Infrastructure Visualization Technical Workflow","No"
"Configurator 360","No"
"Connected Desktop","No"
"DFM","No"
"Drawing Tabs","No"
"DWG TrueView","No"
"Dynamo Open Source","No"
"Engineering Service Providers","No"
"Entertainment Creation Suite","Autodesk Entertainment Creation Suite"
"Exchange Apps","No"
"Featured Apps Ribbon","No"
"Flint","No"
"Fusion 360 Drawings","No"
"Fusion Lifecycle","No"
"FY13 Pre-Exam","No"
"Getting Started with ALC","No"
"Getting the Benefits of BIM","No"
"Global Engineering Components","No"
"Highway Construction Technical Workflow","No"
"Highway Design Technical Workflow","No"
"Highway Drainage and Utilities Technical Workflow","No"
"Highway Route Planning Technical Workflow","No"
"Homestyler","No"
"Homestyler Web GL","No"
"Humanik","No"
"Infrastructure Design Suite","Autodesk Infrastructure Design Suite"
"InfraWorks","Autodesk InfraWorks"
"Install Licensing","No"
"Instructables","No"
"Inventor Engineer-to-Order (ETO)","Autodesk Inventor ETO - Distribution"
"Inventor Fusion","No"
"Inventor HSM","Autodesk Inventor HSM"
"Inventor Optimization","No"
"Inventor Publisher","No"
"Krakow SaaS","No"
"Kynapse","No"
"Licensing & Installation","No"
"LSDV Reviews","No"
"M&E Exam (Sales and Tech)","No"
"Maya","Autodesk Maya"
"Maya LT","Autodesk Maya LT"
"Maya Product Brief","No"
"Meshmixer","No"
"MFG Exam (Sales and Tech)","No"
"MITSI","No"
"Mockup 360","No"
"Modernize Your Pipeline","No"
"Moldflow","Autodesk Moldflow"
"Monthly Inventor & LT Help Update","No"
"MotionBuilder","Autodesk MotionBuilder"
"Mudbox","Autodesk Mudbox"
"Nastran/Nastran IN-CAD","No"
"Pixlr","No"
"Plant Design Suite","Autodesk Plant Design Suite"
"Platform Airmax","No"
"Platform CER/CIP","No"
"Print Studio","No"
"Pro£ & SolidWorks Addin","No"
"Process Plant Specialist Exam (Sales and Tech)","No"
"Product Design Suite","Autodesk Product Design Suite"
"Product Support Best Practices","No"
"Product Support Framework and Spezialization Overview","No"
"Product Support Partner Guide and Announcement","No"
"Project BRAN","No"
"Reality Capture","No"
"Revit Content","No"
"Revit Energy Analysis","No"
"Revit Extensions","No"
"Revit OneBox","No"
"Revit Subscription Advantage Pack","No"
"Roads and Highways Sales Plays","No"
"Selling AutoCAD","No"
"Selling AutoCAD for the Mac","No"
"Selling AutoCAD Inventor LT","No"
"Selling AutoCAD LT","No"
"Selling Autodesk 3ds Max and Maya","No"
"Selling Autodesk Revit Architecture","No"
"Selling Autodesk Showcase","No"
"Selling Autodesk Smoke","No"
"Selling Civil 3D","No"
"Selling Entertainment Creation Suite","No"
"Selling Infrastructure Design Suite","No"
"Selling Product Design Suite","No"
"Selling Revit LT","No"
"Selling Support","No"
"Selling the AutoCAD Design Suite","No"
"Selling the AutoCAD Design Suite (VCP)","No"
"Selling the Autodesk Building Design Suite","No"
"Selling  Autodesk Inventor","No"
"Showcase","No"
"SIM 360","No"
"SIM 360 / SIM 360 Moldflow","No"
"SIM CFD 2014 (Cardinal)","No"
"SIM Job Manager","No"
"SIM Mech. 360","No"
"Simulation 360 & Simulation 360 Ultimate Installer","No"
"Simulation 360 Documentation","No"
"Simulation 360 Pro Documentation","No"
"Simulation Composite Analysis","No"
"Simulation Job Manager","No"
"Simulation Specialist Exam (Sales and Tech)","No"
"SketchBook","No"
"SketchBook Designer","No"
"SketchBook Designer for AutoCAD ","No"
"SketchBook Ink","No"
"Sketchbook Pro","No"
"Sketchbook Products Family","No"
"SketchUp Import Tool","No"
"Skyscraper","No"
"SO IM","No"
"SO IM – Design Automation SP","No"
"SO IM – Sales Automation SP","No"
"SO Trans – Roads and Highways","No"
"SO Trans – Roads and Highways Planning SP","No"
"Softimage","No"
"Softimage, Motion Builder, Mudbox Product Brief","No"
"Stingray v1","Autodesk Stingray"
"Structural Analysis Toolkit for Autodesk Revit","No"
"Structural Fabrication Suite","Autodesk Structural Fabrication Suite"
"Student Experience","No"
"Sundial","No"
"Sunrise","No"
"SWSS AIRMax/Suites Technology","No"
"SWSS CER/CIP","No"
"SWSS Lira/First Experience","No"
"Telling the Autodesk 360 and Suites Story","No"
"Telling the Autodesk BIM Story","No"
"Telling the DP Story","No"
"Tinkerplay","No"
"Transportation Opportunity","No"
"Value Proposition of IDS","No"
"VRED","Autodesk VRED"
